88,"NOK University, Kachia, Kaduna State",Prof. Ishaya Haruna Nock,,2021
89,"Karl-Kumm University, Vom, Plateau State",Prof. Nanven Audu Gambo,,2021
90,"James Hope University, Lagos, Lagos State",Prof. Chukuka Enwemeka,,2021
91,"Maryam Abacha American University of Nigeria, Kano State",Prof. Mohammad Israr,https://www.maaun.edu.ng/,2021
92,"Capital City University, Kano State",Prof Sadiq Zubair Abubakar,https://www.ccuk.edu.ng/,2021
93,"Ahman Pategi University, Kwara State",Prof. Adebola Mahfouz Adedimeji,,2021
94,"University of Offa, Kwara State",Prof. Musa Aibinu,,2021
95,"Mewar International University, Masaka, Nasarawa State",Prof. Mohammad Israr,https://www.miu.edu.ng/,2021
96,"Edusoko University, Bida, Niger State",Prof. Muhammad Alkali,,2021
97,"Philomath University, Kuje, Abuja",Prof. Gylych Jelilov,,2021
98,"Khadija University, Majia, Jigawa State",Prof. Hassana Sani Darma,,2021
99,"Anan University, Kwall, Plateau State",Prof. Inuwa Musa-Fodio,,2021
100,"PEN Resource University, Gombe",Prof. Ogbaji Igoli,,2022
101,"Al-Ansar University, Maiduguri, Borno",Prof. Abubakar Kundiri,,2022
102,"Margaret Lawrence University, Umunede, Delta State",,,2022
103,"Khalifa Isiyaku Rabiu University, Kano",,,2022
104,"Sports University, Idumuje, Ugboko, Delta State",,,2022
105,"Baba Ahmed University, Kano State",,,2022
106,"Saisa University of Medical Sciences and Technology, Sokoto State",,,2022
107,"Nigerian British University, Asa, Abia State",,,2022
108,"Peter University, Achina-Onneh Anambra State",,,2022
109,"Newgate University, MInna, Niger State.",,,2022
110,"European University of Nigeria, Duboyi, FCT",,,2022
111,NorthWest University Sokoto State,,,2022
